ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,Timestamp
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016 07:59
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,04-10-2016 07:59
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016 07:59
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016 07:59
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016 07:59
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016 07:59
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016 07:59
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,04-10-2016 07:59
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,04-10-2016 07:59
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,04-10-2016 07:59
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016 07:59
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,04-10-2016 07:59
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,04-10-2016 07:59
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016 07:59
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,04-10-2016 08:25
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016 08:25
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,04-10-2016 08:25
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,04-10-2016 08:25
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,04-10-2016 08:25
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016 08:25
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016 08:25
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016 08:25
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016 08:25
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016 08:25
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,04-10-2016 08:25
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016 08:25
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,04-10-2016 08:25
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016 08:25
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,04-10-2016 08:59
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016 08:59
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,04-10-2016 08:59
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,04-10-2016 08:59
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,04-10-2016 08:59
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,04-10-2016 08:59
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,04-10-2016 08:59
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,04-10-2016 08:59
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,04-10-2016 08:59
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016 08:59
15746,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0,04-10-2016 08:59
5250,BHMNCPHST01,1200,26.14001386,91.73099967,441,car,low,2,0,04-10-2016 08:59
13122,Others-CCCPS202,2937,26.14749053,91.72799688,848,bike,low,2,0,04-10-2016 08:59
9186,Others-CCCPS105a,2009,26.14747299,91.72804914,864,car,low,2,0,04-10-2016 08:59
2627,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0,04-10-2016 09:32
1315,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0,04-10-2016 09:32
13123,Others-CCCPS202,2937,26.14749053,91.72799688,1036,car,low,3,0,04-10-2016 09:32
14435,Others-CCCPS8,1322,26.14754886,91.72799519,590,cycle,low,3,0,04-10-2016 09:32
7875,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0,04-10-2016 09:32
15747,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0,04-10-2016 09:32
10499,Others-CCCPS119a,2803,26.14754061,91.72797041,420,bike,low,2,0,04-10-2016 09:32
9187,Others-CCCPS105a,2009,26.14747299,91.72804914,1004,car,low,3,0,04-10-2016 09:32
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016 09:32
17059,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0,04-10-2016 09:32
11811,Others-CCCPS135a,3883,26.14749943,91.72800489,2502,bike,low,3,0,04-10-2016 09:32
3939,BHMMBMMBX01,687,20.0000347,78.00000286,414,truck,low,2,0,04-10-2016 09:32
5251,BHMNCPHST01,1200,26.14001386,91.73099967,552,bike,low,2,0,04-10-2016 09:32
6563,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,low,3,0,04-10-2016 09:32
5252,BHMNCPHST01,1200,26.14001386,91.73099967,638,car,low,2,0,04-10-2016 09:59
17060,Shopping,1920,26.15050395,91.73353109,1254,truck,low,3,0,04-10-2016 09:59
14436,Others-CCCPS8,1322,26.14754886,91.72799519,657,truck,low,3,0,04-10-2016 09:59
2628,BHMEURBRD01,470,26.14901995,91.7395035,397,bike,low,2,0,04-10-2016 09:59
15748,Others-CCCPS98,3103,26.14749998,91.72797778,1052,cycle,low,3,0,04-10-2016 09:59
10500,Others-CCCPS119a,2803,26.14754061,91.72797041,476,car,low,3,0,04-10-2016 09:59
1316,BHMBCCTHL01,387,26.14449459,91.73620513,236,car,low,2,0,04-10-2016 09:59
9188,Others-CCCPS105a,2009,26.14747299,91.72804914,1142,car,low,3,0,04-10-2016 09:59
13124,Others-CCCPS202,2937,26.14749053,91.72799688,1163,car,low,3,0,04-10-2016 09:59
7876,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0,04-10-2016 09:59
6564,BHMNCPNST01,485,26.14004753,91.73097233,327,car,average,3,0,04-10-2016 09:59
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016 09:59
11812,Others-CCCPS135a,3883,26.14749943,91.72800489,2802,truck,low,3,0,04-10-2016 09:59
3940,BHMMBMMBX01,687,20.0000347,78.00000286,485,car,low,3,0,04-10-2016 09:59
14437,Others-CCCPS8,1322,26.14754886,91.72799519,715,car,low,3,0,04-10-2016 10:26
2629,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0,04-10-2016 10:26
15749,Others-CCCPS98,3103,26.14749998,91.72797778,1142,car,low,4,0,04-10-2016 10:26
7877,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0,04-10-2016 10:26
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016 10:26
9189,Others-CCCPS105a,2009,26.14747299,91.72804914,1245,truck,low,4,0,04-10-2016 10:26
10501,Others-CCCPS119a,2803,26.14754061,91.72797041,525,cycle,low,4,0,04-10-2016 10:26
5253,BHMNCPHST01,1200,26.14001386,91.73099967,686,car,average,4,0,04-10-2016 10:26
13125,Others-CCCPS202,2937,26.14749053,91.72799688,1257,car,low,3,0,04-10-2016 10:26
11813,Others-CCCPS135a,3883,26.14749943,91.72800489,3035,car,low,5,0,04-10-2016 10:26
17061,Shopping,1920,26.15050395,91.73353109,1324,car,low,4,0,04-10-2016 10:26
3941,BHMMBMMBX01,687,20.0000347,78.00000286,530,car,average,5,0,04-10-2016 10:26
6565,BHMNCPNST01,485,26.14004753,91.73097233,351,car,low,3,0,04-10-2016 10:26
1317,BHMBCCTHL01,387,26.14449459,91.73620513,264,car,low,3,0,04-10-2016 10:26
17062,Shopping,1920,26.15050395,91.73353109,1387,car,average,5,0,04-10-2016 10:59
5254,BHMNCPHST01,1200,26.14001386,91.73099967,729,car,average,4,0,04-10-2016 10:59
13126,Others-CCCPS202,2937,26.14749053,91.72799688,1354,bike,high,7,0,04-10-2016 10:59
15750,Others-CCCPS98,3103,26.14749998,91.72797778,1210,car,average,5,0,04-10-2016 10:59
11814,Others-CCCPS135a,3883,26.14749943,91.72800489,3169,car,average,6,0,04-10-2016 10:59
3942,BHMMBMMBX01,687,20.0000347,78.00000286,573,car,average,4,0,04-10-2016 10:59
7878,Broad Street,690,26.13795775,91.74099445,675,bike,average,4,0,04-10-2016 10:59
6566,BHMNCPNST01,485,26.14004753,91.73097233,371,car,high,6,0,04-10-2016 10:59
14438,Others-CCCPS8,1322,26.14754886,91.72799519,791,car,average,4,0,04-10-2016 10:59
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016 10:59
1318,BHMBCCTHL01,387,26.14449459,91.73620513,308,car,average,4,0,04-10-2016 10:59
10502,Others-CCCPS119a,2803,26.14754061,91.72797041,574,truck,average,4,0,04-10-2016 10:59
2630,BHMEURBRD01,470,26.14901995,91.7395035,458,cycle,high,6,0,04-10-2016 10:59
9190,Others-CCCPS105a,2009,26.14747299,91.72804914,1364,bike,average,5,0,04-10-2016 10:59
17063,Shopping,1920,26.15050395,91.73353109,1428,truck,average,6,0,04-10-2016 11:25
5255,BHMNCPHST01,1200,26.14001386,91.73099967,765,car,average,5,0,04-10-2016 11:25
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016 11:25
14439,Others-CCCPS8,1322,26.14754886,91.72799519,820,truck,average,5,0,04-10-2016 11:25
13127,Others-CCCPS202,2937,26.14749053,91.72799688,1369,bike,average,6,0,04-10-2016 11:25
9191,Others-CCCPS105a,2009,26.14747299,91.72804914,1424,bike,average,6,0,04-10-2016 11:25
2631,BHMEURBRD01,470,26.14901995,91.7395035,464,car,average,5,0,04-10-2016 11:25
15751,Others-CCCPS98,3103,26.14749998,91.72797778,1241,truck,high,9,0,04-10-2016 11:25
11815,Others-CCCPS135a,3883,26.14749943,91.72800489,3221,truck,average,7,0,04-10-2016 11:25
3943,BHMMBMMBX01,687,20.0000347,78.00000286,604,bike,average,5,0,04-10-2016 11:25
10503,Others-CCCPS119a,2803,26.14754061,91.72797041,588,truck,average,5,0,04-10-2016 11:25
1319,BHMBCCTHL01,387,26.14449459,91.73620513,324,bike,average,5,0,04-10-2016 11:25
6567,BHMNCPNST01,485,26.14004753,91.73097233,373,truck,high,7,0,04-10-2016 11:25
7879,Broad Street,690,26.13795775,91.74099445,672,car,average,6,0,04-10-2016 11:25
15752,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,average,6,0,04-10-2016 11:59
11816,Others-CCCPS135a,3883,26.14749943,91.72800489,3248,bike,average,7,0,04-10-2016 11:59
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016 11:59
13128,Others-CCCPS202,2937,26.14749053,91.72799688,1390,car,average,6,0,04-10-2016 11:59
10504,Others-CCCPS119a,2803,26.14754061,91.72797041,605,car,average,5,0,04-10-2016 11:59
1320,BHMBCCTHL01,387,26.14449459,91.73620513,332,car,average,5,0,04-10-2016 11:59
9192,Others-CCCPS105a,2009,26.14747299,91.72804914,1470,bike,average,6,0,04-10-2016 11:59
14440,Others-CCCPS8,1322,26.14754886,91.72799519,836,car,high,8,0,04-10-2016 11:59
7880,Broad Street,690,26.13795775,91.74099445,677,car,high,7,0,04-10-2016 11:59
17064,Shopping,1920,26.15050395,91.73353109,1447,car,average,6,0,04-10-2016 11:59
6568,BHMNCPNST01,485,26.14004753,91.73097233,381,car,high,7,0,04-10-2016 11:59
5256,BHMNCPHST01,1200,26.14001386,91.73099967,771,car,average,6,0,04-10-2016 11:59
3944,BHMMBMMBX01,687,20.0000347,78.00000286,634,bike,average,5,0,04-10-2016 11:59
2632,BHMEURBRD01,470,26.14901995,91.7395035,460,bike,average,5,0,04-10-2016 11:59
17065,Shopping,1920,26.15050395,91.73353109,1460,cycle,high,10,0,04-10-2016 12:29
11817,Others-CCCPS135a,3883,26.14749943,91.72800489,3251,car,high,11,0,04-10-2016 12:29
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016 12:29
13129,Others-CCCPS202,2937,26.14749053,91.72799688,1397,car,high,10,0,04-10-2016 12:29
5257,BHMNCPHST01,1200,26.14001386,91.73099967,779,cycle,high,9,0,04-10-2016 12:29
9193,Others-CCCPS105a,2009,26.14747299,91.72804914,1484,car,high,10,0,04-10-2016 12:29
2633,BHMEURBRD01,470,26.14901995,91.7395035,464,car,high,8,0,04-10-2016 12:29
10505,Others-CCCPS119a,2803,26.14754061,91.72797041,604,car,high,9,0,04-10-2016 12:29
7881,Broad Street,690,26.13795775,91.74099445,683,car,high,9,0,04-10-2016 12:29
1321,BHMBCCTHL01,387,26.14449459,91.73620513,334,car,high,8,0,04-10-2016 12:29
3945,BHMMBMMBX01,687,20.0000347,78.00000286,648,bike,high,9,0,04-10-2016 12:29
15753,Others-CCCPS98,3103,26.14749998,91.72797778,1297,truck,high,10,0,04-10-2016 12:29
14441,Others-CCCPS8,1322,26.14754886,91.72799519,836,car,high,9,0,04-10-2016 12:29
6569,BHMNCPNST01,485,26.14004753,91.73097233,379,car,average,6,0,04-10-2016 12:29
6570,BHMNCPNST01,485,26.14004753,91.73097233,374,bike,high,8,0,04-10-2016 12:56
17066,Shopping,1920,26.15050395,91.73353109,1448,car,high,9,0,04-10-2016 13:02
14442,Others-CCCPS8,1322,26.14754886,91.72799519,810,car,high,8,0,04-10-2016 13:02
11818,Others-CCCPS135a,3883,26.14749943,91.72800489,3232,car,high,10,0,04-10-2016 13:02
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016 13:02
15754,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,high,9,0,04-10-2016 13:02
7882,Broad Street,690,26.13795775,91.74099445,660,bike,high,8,0,04-10-2016 13:02
1322,BHMBCCTHL01,387,26.14449459,91.73620513,333,car,high,7,0,04-10-2016 13:02
9194,Others-CCCPS105a,2009,26.14747299,91.72804914,1461,bike,high,8,0,04-10-2016 13:02
2634,BHMEURBRD01,470,26.14901995,91.7395035,458,car,high,8,0,04-10-2016 13:02
3946,BHMMBMMBX01,687,20.0000347,78.00000286,651,truck,average,6,0,04-10-2016 13:02
13130,Others-CCCPS202,2937,26.14749053,91.72799688,1367,car,high,9,0,04-10-2016 13:02
5258,BHMNCPHST01,1200,26.14001386,91.73099967,773,truck,high,7,0,04-10-2016 13:02
10506,Others-CCCPS119a,2803,26.14754061,91.72797041,596,car,high,8,0,04-10-2016 13:02
3947,BHMMBMMBX01,687,20.0000347,78.00000286,648,car,high,8,0,04-10-2016 13:29
6571,BHMNCPNST01,485,26.14004753,91.73097233,375,bike,high,7,0,04-10-2016 13:29
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016 13:29
5259,BHMNCPHST01,1200,26.14001386,91.73099967,758,car,average,6,0,04-10-2016 13:29
10507,Others-CCCPS119a,2803,26.14754061,91.72797041,581,car,high,7,0,04-10-2016 13:29
1323,BHMBCCTHL01,387,26.14449459,91.73620513,331,car,high,7,0,04-10-2016 13:29
17067,Shopping,1920,26.15050395,91.73353109,1432,cycle,high,9,0,04-10-2016 13:29
2635,BHMEURBRD01,470,26.14901995,91.7395035,450,car,high,8,0,04-10-2016 13:29
11819,Others-CCCPS135a,3883,26.14749943,91.72800489,3184,bike,high,10,0,04-10-2016 13:29
14443,Others-CCCPS8,1322,26.14754886,91.72799519,811,truck,high,8,0,04-10-2016 13:29
9195,Others-CCCPS105a,2009,26.14747299,91.72804914,1459,car,high,8,0,04-10-2016 13:29
7883,Broad Street,690,26.13795775,91.74099445,648,cycle,high,8,0,04-10-2016 13:29
13131,Others-CCCPS202,2937,26.14749053,91.72799688,1360,car,high,9,0,04-10-2016 13:29
15755,Others-CCCPS98,3103,26.14749998,91.72797778,1273,cycle,high,8,0,04-10-2016 13:29
10508,Others-CCCPS119a,2803,26.14754061,91.72797041,576,car,average,4,0,04-10-2016 14:02
14444,Others-CCCPS8,1322,26.14754886,91.72799519,815,truck,average,4,0,04-10-2016 14:02
5260,BHMNCPHST01,1200,26.14001386,91.73099967,757,car,average,5,0,04-10-2016 14:02
13132,Others-CCCPS202,2937,26.14749053,91.72799688,1352,car,average,5,0,04-10-2016 14:02
6572,BHMNCPNST01,485,26.14004753,91.73097233,381,car,average,5,0,04-10-2016 14:02
15756,Others-CCCPS98,3103,26.14749998,91.72797778,1262,car,average,5,0,04-10-2016 14:02
11820,Others-CCCPS135a,3883,26.14749943,91.72800489,3145,truck,average,5,0,04-10-2016 14:02
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016 14:02
7884,Broad Street,690,26.13795775,91.74099445,639,car,high,6,0,04-10-2016 14:02
17068,Shopping,1920,26.15050395,91.73353109,1430,car,average,5,0,04-10-2016 14:02
9196,Others-CCCPS105a,2009,26.14747299,91.72804914,1452,car,average,5,0,04-10-2016 14:02
1324,BHMBCCTHL01,387,26.14449459,91.73620513,332,car,average,4,0,04-10-2016 14:02
3948,BHMMBMMBX01,687,20.0000347,78.00000286,637,car,high,6,0,04-10-2016 14:02
2636,BHMEURBRD01,470,26.14901995,91.7395035,446,car,average,4,0,04-10-2016 14:02
3949,BHMMBMMBX01,687,20.0000347,78.00000286,627,truck,average,4,0,04-10-2016 14:29
11821,Others-CCCPS135a,3883,26.14749943,91.72800489,3113,bike,average,5,0,04-10-2016 14:29
13133,Others-CCCPS202,2937,26.14749053,91.72799688,1318,car,average,5,0,04-10-2016 14:29
17069,Shopping,1920,26.15050395,91.73353109,1429,car,average,4,0,04-10-2016 14:29
1325,BHMBCCTHL01,387,26.14449459,91.73620513,322,car,average,3,0,04-10-2016 14:29
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016 14:29
10509,Others-CCCPS119a,2803,26.14754061,91.72797041,560,car,average,4,0,04-10-2016 14:29
2637,BHMEURBRD01,470,26.14901995,91.7395035,433,bike,average,4,0,04-10-2016 14:29
9197,Others-CCCPS105a,2009,26.14747299,91.72804914,1420,bike,high,7,0,04-10-2016 14:29
7885,Broad Street,690,26.13795775,91.74099445,621,car,average,4,0,04-10-2016 14:29
15757,Others-CCCPS98,3103,26.14749998,91.72797778,1238,car,average,5,0,04-10-2016 14:29
14445,Others-CCCPS8,1322,26.14754886,91.72799519,793,bike,average,4,0,04-10-2016 14:29
6573,BHMNCPNST01,485,26.14004753,91.73097233,373,car,average,4,0,04-10-2016 14:29
5261,BHMNCPHST01,1200,26.14001386,91.73099967,760,car,average,4,0,04-10-2016 14:29
1326,BHMBCCTHL01,387,26.14449459,91.73620513,307,truck,average,4,0,04-10-2016 14:57
3950,BHMMBMMBX01,687,20.0000347,78.00000286,593,cycle,average,4,0,04-10-2016 14:57
11822,Others-CCCPS135a,3883,26.14749943,91.72800489,3011,car,average,6,0,04-10-2016 14:57
6574,BHMNCPNST01,485,26.14004753,91.73097233,354,bike,average,4,0,04-10-2016 14:57
17070,Shopping,1920,26.15050395,91.73353109,1381,car,average,5,0,04-10-2016 14:57
10510,Others-CCCPS119a,2803,26.14754061,91.72797041,529,bike,average,4,0,04-10-2016 14:57
